,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
0,"realme P4x 5G (Lake Green, 128 GB)","₹16,499₹17,9998% off","7,161 Ratings & 549 Reviews",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4
1,"Coolpad CP12 Neo (Gold, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
2,"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹7,999₹9,99920% off","6,394 Ratings & 382 Reviews",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3
3,"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)","₹7,999₹9,99920% off","6,394 Ratings & 382 Reviews",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3
4,"MOTOROLA g06 power (Pantone Tendril, 64 GB)","₹7,999₹9,99920% off","6,394 Ratings & 382 Reviews",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3
5,"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)","₹13,999₹17,99922% off","16,678 Ratings & 906 Reviews",22% off,50MP + 8MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4
6,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹8,999₹12,49928% off","40,373 Ratings & 2,384 Reviews",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
7,"POCO C75 5G (Silver Stardust, 64 GB)","₹8,499₹10,99922% off","1,53,570 Ratings & 6,712 Reviews",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
8,"Ai+ Pulse (Black, 128 GB)","₹7,499₹9,99925% off","6,922 Ratings & 406 Reviews",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1
9,"POCO C75 5G (Aqua Bliss, 128 GB)","₹9,499₹11,49917% off","1,53,570 Ratings & 6,712 Reviews",17% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
10,"POCO C71 (Power Black, 64 GB)","₹7,799₹8,99913% off","57,971 Ratings & 2,557 Reviews",13% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,3.9
11,"Ai+ Pulse (Sparkle Red, 64 GB)","₹6,999₹7,99912% off","44,538 Ratings & 2,650 Reviews",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3
12,Samsung Guru Music 2 B310ED,"₹943₹1,99852% off","31,559 Ratings & 2,117 Reviews",52% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1
13,"Samsung Galaxy F06 5G (Lit Violet, 64 GB)","₹8,999₹12,49928% off","40,373 Ratings & 2,384 Reviews",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
14,"POCO C75 5G (Enchanted Green, 64 GB)","₹8,499₹10,99922% off","1,53,570 Ratings & 6,712 Reviews",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
15,"POCO C71 (Power Black, 128 GB)","₹8,799₹9,99912% off","33,722 Ratings & 1,570 Reviews",12% off,32MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
16,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹12,999₹14,99913% off","60,553 Ratings & 1,861 Reviews",13% off,50MP + 2MP | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.4
17,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 64 GB)","₹10,999₹12,99915% off","44,918 Ratings & 1,300 Reviews",15% off,50MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.4
18,"POCO C71 (Cool Blue, 128 GB)","₹8,799₹9,99912% off","33,722 Ratings & 1,570 Reviews",12% off,32MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
19,"Ai+ Pulse (Black, 64 GB)","₹6,999₹7,99912% off","44,538 Ratings & 2,650 Reviews",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3
20,Samsung Guru Music 2 B310ED,"₹775₹1,79856% off","31,559 Ratings & 2,117 Reviews",56% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1
21,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","₹14,999₹16,99911% off","22,914 Ratings & 988 Reviews",11% off,50MP + 2MP | 5MP Front Camera,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.3
22,"REDMI A4 (Starry Black, 128 GB)","₹10,569₹11,99911% off","14,848 Ratings & 618 Reviews",11% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5160 mAh Battery,17.48 cm (6.88 inch) Display,4.3
23,"Ai+ Nova 5G (Pink, 128 GB)","₹8,999₹10,99918% off","25,287 Ratings & 1,590 Reviews",18% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.2
24,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499₹9,99925% off","3,899 Ratings & 194 Reviews",25% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.3
25,"vivo T4x 5G (Marine Blue, 256 GB)","₹18,499₹20,99911% off","1,58,575 Ratings & 7,418 Reviews",11% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 256 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.4
26,"realme P4x 5G (Lake Green, 128 GB)","₹16,499₹17,9998% off","7,161 Ratings & 549 Reviews",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4
27,"Coolpad CP12 Neo (Gold, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
28,"vivo T4x 5G (Pronto Purple, 128 GB)","₹16,499₹19,49915% off","1,58,575 Ratings & 7,418 Reviews",15% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.4
29,"realme C71 (Sea Blue, 128 GB)","₹9,699₹10,99911% off","9,030 Ratings & 336 Reviews",11% off,13MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6300 mAh Battery,17.14 cm (6.75 inch) HD+ Display,4.2
30,"realme P3x 5G (Lunar Silver, 128 GB)","₹12,999₹16,99923% off","73,678 Ratings & 2,827 Reviews",23% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM,6000 mAh Battery,17.07 cm (6.72 inch) Full HD Display,4.4
31,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)","₹9,499₹10,99913% off","1,683 Ratings & 84 Reviews",13% off,32MP Rear Camera,6 GB RAM | 128 GB ROM,6300 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.3
32,Samsung SM-B310 EZBAPKS,"₹898₹1,89952% off","1,176 Ratings & 71 Reviews",52% off,0MP | 0MP Front Camera,100 MB RAM | 100 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1
33,"Ai+ Pulse (Blue, 64 GB)","₹6,999₹7,99912% off","44,538 Ratings & 2,650 Reviews",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3
34,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹13,999₹19,99930% off","27,089 Ratings & 1,188 Reviews",30% off,50MP + 8MP + 2MP | 20MP Front Camera,6 GB RAM | 128 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.3
35,"POCO C75 5G (Aqua Bliss, 64 GB)","₹8,499₹10,99922% off","1,53,570 Ratings & 6,712 Reviews",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
36,"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299₹9,99927% off","79,805 Ratings & 4,779 Reviews",27% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5100 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.2
37,LAVA A2 Smart,"₹1,198₹1,54922% off",570 Ratings & 34 Reviews,22% off,1.3MP + 0MP | 0MP Front Camera,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,1200 mAh Battery,6.1 cm (2.4 inch) HVGA Display,4
38,"realme C61 (Marble Black, 64 GB)","₹7,249₹8,99919% off","44,186 Ratings & 1,448 Reviews",19% off,32MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3
39,"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)","₹11,442₹13,99918% off",797 Ratings & 43 Reviews,18% off,32MP Rear Camera,4 GB RAM | 128 GB ROM,6000 mAh Battery,16.94 cm (6.67 inch) Display,4.3
40,"POCO M7 5G (Mint Green, 128 GB)","₹10,799₹12,99916% off","75,020 Ratings & 3,468 Reviews",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
41,"POCO M7 5G (Satin Black, 128 GB)","₹10,799₹12,99916% off","75,020 Ratings & 3,468 Reviews",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
42,"Ai+ Pulse (Green, 128 GB)","₹7,499₹9,99925% off","6,922 Ratings & 406 Reviews",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1
43,"vivo T4x 5G (Pronto Purple, 128 GB)","₹15,499₹17,99913% off","2,10,240 Ratings & 9,148 Reviews",13% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.5
44,"REDMI A4 (Sparkle Purple, 128 GB)","₹10,376₹11,99913% off","14,848 Ratings & 618 Reviews",13% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5160 mAh Battery,17.48 cm (6.88 inch) Display,4.3
45,"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","₹15,999₹18,99915% off","8,022 Ratings & 446 Reviews",15% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.4
46,"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)","₹18,999₹22,99917% off","87,695 Ratings & 4,418 Reviews",17% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.4
47,"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)","₹13,999₹17,99922% off","16,678 Ratings & 906 Reviews",22% off,50MP + 8MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4
48,"vivo T4x 5G (Glacial Teal, 128 GB)","₹15,499₹17,99913% off","2,10,240 Ratings & 9,148 Reviews",13% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.5
49,"Ai+ Pulse (Sparkle Red, 128 GB)","₹7,499₹9,99925% off","6,922 Ratings & 406 Reviews",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1
50,"Coolpad CP12 Neo (Blue, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
51,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹13,055₹14,99912% off","3,309 Ratings & 136 Reviews",12% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.3
52,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999₹13,99928% off","40,373 Ratings & 2,384 Reviews",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
53,"POCO M7 5G (Ocean Blue, 128 GB)","₹10,799₹12,99916% off","75,020 Ratings & 3,468 Reviews",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
54,"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹13,499₹18,99928% off","37,585 Ratings & 2,682 Reviews",28% off,50MP + 2MP | 20MP Front Camera,6 GB RAM | 128 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.3
55,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹12,137₹13,99913% off","2,387 Ratings & 94 Reviews",13% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.2
56,"vivo T4x 5G (Marine Blue, 128 GB)","₹15,499₹17,99913% off","2,10,240 Ratings & 9,148 Reviews",13% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.5
