,Product Name,Offer,Camera,Memory,Battery,Display,Ratting Number,Sale Price,Actual Price,No of Reviews,No of Rattings
0,"realme P4x 5G (Lake Green, 128 GB)",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4,16499,17999,7161,549
1,"Coolpad CP12 Neo (Gold, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
2,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3,7999,9999,6394,382
3,"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3,7999,9999,6394,382
4,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",20% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,7000 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3,7999,9999,6394,382
5,"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",22% off,50MP + 8MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4,13999,17999,16678,906
6,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2,8999,12499,40373,2384
7,"POCO C75 5G (Silver Stardust, 64 GB)",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2,8499,10999,153570,6712
8,"Ai+ Pulse (Black, 128 GB)",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1,7499,9999,6922,406
9,"POCO C75 5G (Aqua Bliss, 128 GB)",17% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2,9499,11499,153570,6712
10,"POCO C71 (Power Black, 64 GB)",13% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,3.9,7799,8999,57971,2557
11,"Ai+ Pulse (Sparkle Red, 64 GB)",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3,6999,7999,44538,2650
12,Samsung Guru Music 2 B310ED,52% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1,943,1998,31559,2117
13,"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2,8999,12499,40373,2384
14,"POCO C75 5G (Enchanted Green, 64 GB)",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2,8499,10999,153570,6712
15,"POCO C71 (Power Black, 128 GB)",12% off,32MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,8799,9999,33722,1570
16,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",13% off,50MP + 2MP | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.4,12999,14999,60553,1861
17,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 64 GB)",15% off,50MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.4,10999,12999,44918,1300
18,"POCO C71 (Cool Blue, 128 GB)",12% off,32MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,8799,9999,33722,1570
19,"Ai+ Pulse (Black, 64 GB)",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3,6999,7999,44538,2650
20,Samsung Guru Music 2 B310ED,56% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1,775,1798,31559,2117
21,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",11% off,50MP + 2MP | 5MP Front Camera,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.3,14999,16999,22914,988
22,"REDMI A4 (Starry Black, 128 GB)",11% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5160 mAh Battery,17.48 cm (6.88 inch) Display,4.3,10569,11999,14848,618
23,"Ai+ Nova 5G (Pink, 128 GB)",18% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.2,8999,10999,25287,1590
24,"Samsung Galaxy F07 (Green, 64 GB)",25% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.3,7499,9999,3899,194
25,"vivo T4x 5G (Marine Blue, 256 GB)",11% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 256 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.4,18499,20999,158575,7418
26,"realme P4x 5G (Lake Green, 128 GB)",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4,16499,17999,7161,549
27,"Coolpad CP12 Neo (Gold, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
28,"vivo T4x 5G (Pronto Purple, 128 GB)",15% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.4,16499,19499,158575,7418
29,"realme C71 (Sea Blue, 128 GB)",11% off,13MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6300 mAh Battery,17.14 cm (6.75 inch) HD+ Display,4.2,9699,10999,9030,336
30,"realme P3x 5G (Lunar Silver, 128 GB)",23% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM,6000 mAh Battery,17.07 cm (6.72 inch) Full HD Display,4.4,12999,16999,73678,2827
31,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)",13% off,32MP Rear Camera,6 GB RAM | 128 GB ROM,6300 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.3,9499,10999,1683,84
32,Samsung SM-B310 EZBAPKS,52% off,0MP | 0MP Front Camera,100 MB RAM | 100 MB ROM | Expandable Upto 100 MB,800 mAh Battery,4.57 cm (1.8 inch) VGA Display,3.1,898,1899,1176,71
33,"Ai+ Pulse (Blue, 64 GB)",12% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3,6999,7999,44538,2650
34,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",30% off,50MP + 8MP + 2MP | 20MP Front Camera,6 GB RAM | 128 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.3,13999,19999,27089,1188
35,"POCO C75 5G (Aqua Bliss, 64 GB)",22% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2,8499,10999,153570,6712
36,"MOTOROLA g05 (Forest Green, 64 GB)",27% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5100 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.2,7299,9999,79805,4779
37,LAVA A2 Smart,22% off,1.3MP + 0MP | 0MP Front Camera,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,1200 mAh Battery,6.1 cm (2.4 inch) HVGA Display,4,1198,1549,570,34
38,"realme C61 (Marble Black, 64 GB)",19% off,32MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.3,7249,8999,44186,1448
39,"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)",18% off,32MP Rear Camera,4 GB RAM | 128 GB ROM,6000 mAh Battery,16.94 cm (6.67 inch) Display,4.3,11442,13999,797,43
40,"POCO M7 5G (Mint Green, 128 GB)",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,10799,12999,75020,3468
41,"POCO M7 5G (Satin Black, 128 GB)",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,10799,12999,75020,3468
42,"Ai+ Pulse (Green, 128 GB)",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1,7499,9999,6922,406
43,"vivo T4x 5G (Pronto Purple, 128 GB)",13% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.5,15499,17999,210240,9148
44,"REDMI A4 (Sparkle Purple, 128 GB)",13% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5160 mAh Battery,17.48 cm (6.88 inch) Display,4.3,10376,11999,14848,618
45,"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)",15% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.4,15999,18999,8022,446
46,"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)",17% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.4,18999,22999,87695,4418
47,"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)",22% off,50MP + 8MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4,13999,17999,16678,906
48,"vivo T4x 5G (Glacial Teal, 128 GB)",13% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.07 cm (6.72 inch) Display,4.5,15499,17999,210240,9148
49,"Ai+ Pulse (Sparkle Red, 128 GB)",25% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1,7499,9999,6922,406
50,"Coolpad CP12 Neo (Blue, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
51,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",12% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.3,13055,14999,3309,136
52,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",28% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2,9999,13999,40373,2384
53,"POCO M7 5G (Ocean Blue, 128 GB)",16% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,10799,12999,75020,3468
